GeneSymbol	tax_id	GeneID	LocusTag	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Nomenclature_status	Other_designations	Modification_date	Feature_type
CD74	9606	972	-	CLIP|DHLAG|HLADG|II|Ia-GAMMA|p33	MIM:142790|HGNC:HGNC:1697|Ensembl:ENSG00000019582|AllianceGenome:HGNC:1697	5	5q33.1	CD74 molecule	protein-coding	CD74	CD74 molecule	O	HLA class II histocompatibility antigen gamma chain|CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)|CD74 molecule, major histocompatibility complex, class II invariant chain|HLA-DR antigens-associated invariant chain|HLA-DR-gamma|Ia-associated invariant chain|MHC HLA-DR gamma chain|class II MHC-associated invariant chain peptide|gamma chain of class II antigens	20250503	-
CDKN1C	9606	1028	-	BWCR|BWS|KIP2|WBS|p57|p57Kip2	MIM:600856|HGNC:HGNC:1786|Ensembl:ENSG00000129757|AllianceGenome:HGNC:1786	11	11p15.4	cyclin dependent kinase inhibitor 1C	protein-coding	CDKN1C	cyclin dependent kinase inhibitor 1C	O	cyclin-dependent kinase inhibitor 1C|cyclin-dependent kinase inhibitor 1C (p57, Kip2)|cyclin-dependent kinase inhibitor p57	20250503	-
CEACAM8	9606	1088	-	CD66b|CD67|CGM6|NCA-95	MIM:615747|HGNC:HGNC:1820|Ensembl:ENSG00000124469|AllianceGenome:HGNC:1820	19	19q13.2	CEA cell adhesion molecule 8	protein-coding	CEACAM8	CEA cell adhesion molecule 8	O	cell adhesion molecule CEACAM8|carcinoembryonic antigen-related cell adhesion molecule 8|CD67 antigen|carcinoembryonic antigen CGM6|carcinoembryonic antigen gene family member 6|carcinoembryonic antigen related cell adhesion molecule 8|non-specific cross-reacting antigen NCA-95	20250503	-
CHD9	9606	80205	-	AD013|CHD-9|CReMM|KISH2|PRIC320	MIM:616936|HGNC:HGNC:25701|Ensembl:ENSG00000177200|AllianceGenome:HGNC:25701	16	16q12.2	chromodomain helicase DNA binding protein 9	protein-coding	CHD9	chromodomain helicase DNA binding protein 9	O	chromodomain-helicase-DNA-binding protein 9|ATP-dependent helicase CHD9|PPAR-alpha-interacting complex protein 320 kDa|PPAR{gamma}-interacting cofactor 320 kDa|chromatin remodeling factor CHROM1|chromatin-related mesenchymal modulator|ciprofibrate bound protein p240|kismet homolog 2|peroxisomal proliferator-activated receptor A-interacting complex 320 kDa protein|proteinx0008	20250503	-
CHURC1	9606	91612	-	C14orf52|My015|chch	MIM:608577|HGNC:HGNC:20099|Ensembl:ENSG00000258289|AllianceGenome:HGNC:20099	14	14q23.3	churchill domain containing 1	protein-coding	CHURC1	churchill domain containing 1	O	protein Churchill	20250503	-
CLDND1	9606	56650	-	C3orf4|CLDN-25|GENX-3745|Z38	MIM:619677|HGNC:HGNC:1322|Ensembl:ENSG00000080822|AllianceGenome:HGNC:1322	3	3q11.2|3q12.1	claudin domain containing 1	protein-coding	CLDND1	claudin domain containing 1	O	claudin domain-containing protein 1|claudin domain containing 1 protein|membrane protein GENX-3745	20250503	-
CLIC3	9606	9022	-	-	MIM:606533|HGNC:HGNC:2064|Ensembl:ENSG00000169583|AllianceGenome:HGNC:2064	9	9q34.3	chloride intracellular channel 3	protein-coding	CLIC3	chloride intracellular channel 3	O	chloride intracellular channel protein 3|glutaredoxin-like oxidoreductase CLIC3	20250503	-
CMPK1	9606	51727	-	CK|CMK|CMPK|UMK|UMP-CMPK|UMPK	MIM:191710|HGNC:HGNC:18170|Ensembl:ENSG00000162368|AllianceGenome:HGNC:18170	1	1p33	cytidine/uridine monophosphate kinase 1	protein-coding	CMPK1	cytidine/uridine monophosphate kinase 1	O	UMP-CMP kinase|UMP/CMP kinase|cytidine monophosphate (UMP-CMP) kinase 1, cytosolic|cytidylate kinase|dCMP kinase|deoxycytidylate kinase|nucleoside-diphosphate kinase|uridine monophosphate kinase|uridine monophosphate/cytidine monophosphate kinase	20250503	-
CMTM6	9606	54918	-	CKLFSF6|PRO2219	MIM:607889|HGNC:HGNC:19177|Ensembl:ENSG00000091317|AllianceGenome:HGNC:19177	3	3p22.3	CKLF like MARVEL transmembrane domain containing 6	protein-coding	CMTM6	CKLF like MARVEL transmembrane domain containing 6	O	CKLF-like MARVEL transmembrane domain-containing protein 6|chemokine-like factor super family 6|chemokine-like factor superfamily 6|chemokine-like factor superfamily member 6	20250503	-
CNIH4	9606	29097	-	CNIH-4|HSPC163	MIM:617483|HGNC:HGNC:25013|Ensembl:ENSG00000143771|AllianceGenome:HGNC:25013	1	1q42.11	cornichon family member 4	protein-coding	CNIH4	cornichon family member 4	O	protein cornichon homolog 4|cornichon family AMPA receptor auxiliary protein 4|cornichon homolog 4	20250503	-
COMMD3	9606	23412	-	BUP|C10orf8	MIM:616700|HGNC:HGNC:23332|Ensembl:ENSG00000148444|AllianceGenome:HGNC:23332	10	10p12.2	COMM domain containing 3	protein-coding	COMMD3	COMM domain containing 3	O	COMM domain-containing protein 3|protein Bup	20250503	-
COMMD6	9606	170622	-	Acrg	MIM:612377|HGNC:HGNC:24015|Ensembl:ENSG00000188243|AllianceGenome:HGNC:24015	13	13q22.2	COMM domain containing 6	protein-coding	COMMD6	COMM domain containing 6	O	COMM domain-containing protein 6|Acrg embryonic lethality minimal region ortholog	20250503	-
COX7A2	9606	1347	-	COX7AL|COX7AL1|COXVIIAL|COXVIIa-L|VIIAL	MIM:123996|HGNC:HGNC:2288|Ensembl:ENSG00000112695|AllianceGenome:HGNC:2288	6	6q14.1	cytochrome c oxidase subunit 7A2	protein-coding	COX7A2	cytochrome c oxidase subunit 7A2	O	cytochrome c oxidase subunit 7A2, mitochondrial|cytochrome c oxidase polypeptide 7A2, mitochondrial|cytochrome c oxidase polypeptide VIIa-liver/heart|cytochrome c oxidase subunit VIIa polypeptide 2 (liver)|cytochrome c oxidase subunit VIIa-L|cytochrome c oxidase subunit VIIa-liver/heart|cytochrome c oxidase subunit VIIaL|hepatic cytochrome-c oxidase chain VIIa	20250503	-
COX7B	9606	1349	-	APLCC|LSDMCA2	MIM:300885|HGNC:HGNC:2291|Ensembl:ENSG00000131174|AllianceGenome:HGNC:2291	X	Xq21.1	cytochrome c oxidase subunit 7B	protein-coding	COX7B	cytochrome c oxidase subunit 7B	O	cytochrome c oxidase subunit 7B, mitochondrial|cytochrome c oxidase polypeptide VIIb|cytochrome c oxidase subunit VIIb|cytochrome-c oxidase chain VIIb	20250503	-
COX7C	9606	1350	-	-	MIM:603774|HGNC:HGNC:2292|Ensembl:ENSG00000127184|AllianceGenome:HGNC:2292	5	5q14.3	cytochrome c oxidase subunit 7C	protein-coding	COX7C	cytochrome c oxidase subunit 7C	O	cytochrome c oxidase subunit 7C, mitochondrial|cytochrome c oxidase polypeptide VIIc|cytochrome c oxidase subunit VIIc|cytochrome-c oxidase chain VIIc	20250503	-
CPD	9606	1362	-	GP180	MIM:603102|HGNC:HGNC:2301|Ensembl:ENSG00000108582|AllianceGenome:HGNC:2301	17	17q11.2	carboxypeptidase D	protein-coding	CPD	carboxypeptidase D	O	carboxypeptidase D|metallocarboxypeptidase D	20250511	-
CRBN	9606	51185	-	MRT2|MRT2A	MIM:609262|HGNC:HGNC:30185|Ensembl:ENSG00000113851|AllianceGenome:HGNC:30185	3	3p26.2	cereblon	protein-coding	CRBN	cereblon	O	protein cereblon|protein x 0001	20250503	-
CTSW	9606	1521	-	LYPN	MIM:602364|HGNC:HGNC:2546|Ensembl:ENSG00000172543|AllianceGenome:HGNC:2546	11	11q13.1	cathepsin W	protein-coding	CTSW	cathepsin W	O	cathepsin W|lymphopain	20250503	-
CX3CR1	9606	1524	-	CCRL1|CMKBRL1|CMKDR1|GPR13|GPRV28|V28	MIM:601470|HGNC:HGNC:2558|Ensembl:ENSG00000168329|AllianceGenome:HGNC:2558	3	3p22.2	C-X3-C motif chemokine receptor 1	protein-coding	CX3CR1	C-X3-C motif chemokine receptor 1	O	CX3C chemokine receptor 1|C-X3-C CKR-1|CMK-BRL-1|CMK-BRL1|G-protein coupled receptor 13|beta chemokine receptor-like 1|chemokine (C-C) receptor-like 1|chemokine (C-X3-C motif) receptor 1|chemokine (C-X3-C) receptor 1|fractalkine receptor	20250503	-
CYB5R4	9606	51167	-	NCB5OR|cb5/cb5R|dJ676J13.1	MIM:608343|HGNC:HGNC:20147|Ensembl:ENSG00000065615|AllianceGenome:HGNC:20147	6	6q14.2	cytochrome b5 reductase 4	protein-coding	CYB5R4	cytochrome b5 reductase 4	O	cytochrome b5 reductase 4|N-terminal cytochrome b5 and cytochrome b5 oxidoreductase domain-containing protein|NADPH cytochrome B5 oxidoreductase|cytochrome b-type NAD(P)H oxidoreductase|flavohemoprotein b5+b5R|flavohemoprotein b5/b5R	20250503	-
CYP1B1	9606	1545	-	ASGD6|CP1B|CYPIB1|GLC3A|P4501B1	MIM:601771|HGNC:HGNC:2597|Ensembl:ENSG00000138061|AllianceGenome:HGNC:2597	2	2p22.2	cytochrome P450 family 1 subfamily B member 1	protein-coding	CYP1B1	cytochrome P450 family 1 subfamily B member 1	O	cytochrome P450 1B1|aryl hydrocarbon hydroxylase|cytochrome P450, family 1, subfamily B, polypeptide 1|cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)|dioxin-inducible cytochrome p450|flavoprotein-linked monooxygenase|hydroperoxy icosatetraenoate dehydratase|microsomal monooxygenase|xenobiotic monooxygenase	20250503	-
DCP2	9606	167227	-	NUDT20	MIM:609844|HGNC:HGNC:24452|Ensembl:ENSG00000172795|AllianceGenome:HGNC:24452	5	5q22.2	decapping mRNA 2	protein-coding	DCP2	decapping mRNA 2	O	m7GpppN-mRNA hydrolase|DCP2 decapping enzyme homolog|hDpc|mRNA-decapping enzyme 2|nudix (nucleoside diphosphate linked moiety X)-type motif 20	20250511	-
DEFA1	9606	1667	-	DEF1|DEFA2|HNP-1|HP-1|HP1|MRS	MIM:125220|HGNC:HGNC:2761|Ensembl:ENSG00000206047|AllianceGenome:HGNC:2761	8	8p23.1	defensin alpha 1	protein-coding	DEFA1	defensin alpha 1	O	neutrophil defensin 1|defensin, alpha 1, myeloid-related sequence|defensin, alpha 2|myeloid-related sequence	20250503	-
DEFA3	9606	1668	-	DEF3|HNP-3|HNP3|HP-3|HP3	MIM:604522|HGNC:HGNC:2762|Ensembl:ENSG00000239839|AllianceGenome:HGNC:2762	8	8p23.1	defensin alpha 3	protein-coding	DEFA3	defensin alpha 3	O	neutrophil defensin 3|defensin 3, neutrophil-specific|defensin, alpha 3, neutrophil-specific|neutrophil peptide 3	20250503	-
DEFA4	9606	1669	-	DEF4|HNP-4|HP-4|HP4	MIM:601157|HGNC:HGNC:2763|Ensembl:ENSG00000164821|AllianceGenome:HGNC:2763	8	8p23.1	defensin alpha 4	protein-coding	DEFA4	defensin alpha 4	O	defensin alpha 4|corticostatin|corticostatin HP-4|defensin, alpha 4, corticostatin|defensin, alpha 4, preproprotein|neutrophil defensin 4	20250503	-
DEK	9606	7913	-	D6S231E	MIM:125264|HGNC:HGNC:2768|Ensembl:ENSG00000124795|AllianceGenome:HGNC:2768	6	6p22.3	DEK proto-oncogene	protein-coding	DEK	DEK proto-oncogene	O	protein DEK|DEK oncogene (DNA binding)	20250503	-
DOCK11	9606	139818	-	ACG|ADMIDX|ZIZ2|bB128O4.1	MIM:300681|HGNC:HGNC:23483|Ensembl:ENSG00000147251|AllianceGenome:HGNC:23483	X	Xq24	dedicator of cytokinesis 11	protein-coding	DOCK11	dedicator of cytokinesis 11	O	dedicator of cytokinesis protein 11|Activated Cdc42-associated guanine nucleotide exchange factor, ACG|zizimin-2|zizimin2	20250503	-
DPYSL5	9606	56896	-	CRAM|CRMP-5|CRMP5|CV2|RTSC4|Ulip6	MIM:608383|HGNC:HGNC:20637|Ensembl:ENSG00000157851|AllianceGenome:HGNC:20637	2	2p23.3	dihydropyrimidinase like 5	protein-coding	DPYSL5	dihydropyrimidinase like 5	O	dihydropyrimidinase-related protein 5|CRMP3-associated molecule|DRP-5|ULIP-6|UNC33-like phosphoprotein 6|collapsin response mediator protein-5	20250511	-
EDG8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EFR3A	9606	23167	-	-	MIM:611798|HGNC:HGNC:28970|Ensembl:ENSG00000132294|AllianceGenome:HGNC:28970	8	8q24.22	EFR3 homolog A	protein-coding	EFR3A	EFR3 homolog A	O	protein EFR3 homolog A	20250503	-
EIF1AY	9606	9086	-	eIF-4C	MIM:400014|HGNC:HGNC:3252|Ensembl:ENSG00000198692|AllianceGenome:HGNC:3252	Y	Yq11.223	eukaryotic translation initiation factor 1A Y-linked	protein-coding	EIF1AY	eukaryotic translation initiation factor 1A Y-linked	O	eukaryotic translation initiation factor 1A, Y-chromosomal|eIF1A Y isoform|eukaryotic translation initiation factor 1A, Y chromosome|eukaryotic translation initiation factor 4C	20250503	-
EPB49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EVI2A	9606	2123	-	EVDA|EVI-2A|EVI2	MIM:158380|HGNC:HGNC:3499|Ensembl:ENSG00000126860|AllianceGenome:HGNC:3499	17	17q11.2	ecotropic viral integration site 2A	protein-coding	EVI2A	ecotropic viral integration site 2A	O	protein EVI2A|ecotropic viral integration site 2A protein homolog	20250503	-
FAU	9606	2197	-	FAU1|Fub1|Fubi|MNSFbeta|RPS30|S30|asr1|eS30	MIM:134690|HGNC:HGNC:3597|Ensembl:ENSG00000149806|AllianceGenome:HGNC:3597	11	11q13.1	FAU ubiquitin like and ribosomal protein S30 fusion	protein-coding	FAU	FAU ubiquitin like and ribosomal protein S30 fusion	O	ubiquitin-like FUBI-ribosomal protein eS30 fusion protein|40S ribosomal protein S30|FAU ubiquitin-like and ribosomal protein S30|FAU-encoded ubiquitin-like protein|FBR-MuSV-associated ubiquitously expressed|Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived)|monoclonal nonspecific suppressor factor beta|ribosomal protein S30|small ribosomal subunit protein eS30|ubiquitin-like protein fubi and ribosomal protein S30|ubiquitin-like-S30 fusion protein	20250511	-
FEM1C	9606	56929	-	EUROIMAGE686608|EUROIMAGE783647|FEM1A	MIM:608767|HGNC:HGNC:16933|Ensembl:ENSG00000145780|AllianceGenome:HGNC:16933	5	5q22.3	fem-1 homolog C	protein-coding	FEM1C	fem-1 homolog C	O	protein fem-1 homolog C|FEM1-gamma	20250503	-
FKBP8	9606	23770	-	FKBP38|FKBPr38	MIM:604840|HGNC:HGNC:3724|Ensembl:ENSG00000105701|AllianceGenome:HGNC:3724	19	19p13.11	FKBP prolyl isomerase 8	protein-coding	FKBP8	FKBP prolyl isomerase 8	O	peptidyl-prolyl cis-trans isomerase FKBP8|38 kDa FK506-binding protein|38 kDa FKBP|FK506 binding protein 8, 38kDa|FK506-binding protein 8|FKBP-38|FKBP-8|PPIase FKBP8|hFKBP38|rotamase	20250503	-
FOXN2	9606	3344	-	HTLF	MIM:143089|HGNC:HGNC:5281|Ensembl:ENSG00000170802|AllianceGenome:HGNC:5281	2	2p16.3	forkhead box N2	protein-coding	FOXN2	forkhead box N2	O	forkhead box protein N2|human T-cell leukemia virus enhancer factor	20250503	-
GLRX	9606	2745	-	GRX|GRX1	MIM:600443|HGNC:HGNC:4330|Ensembl:ENSG00000173221|AllianceGenome:HGNC:4330	5	5q15	glutaredoxin	protein-coding	GLRX	glutaredoxin	O	glutaredoxin-1|TTase-1|thioltransferase|thioltransferase-1	20250503	-
GMFB	9606	2764	-	GMF	MIM:601713|HGNC:HGNC:4373|Ensembl:ENSG00000197045|AllianceGenome:HGNC:4373	14	14q22.2	glia maturation factor beta	protein-coding	GMFB	glia maturation factor beta	O	glia maturation factor beta|GMF-beta	20250511	-
GNG10	9606	2790	-	-	MIM:604389|HGNC:HGNC:4402|Ensembl:ENSG00000242616|AllianceGenome:HGNC:4402	9	9q31.3	G protein subunit gamma 10	protein-coding	GNG10	G protein subunit gamma 10	O	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10|guanine nucleotide binding protein (G protein), gamma 10|guanine nucleotide binding protein 10	20250503	-
